id,title_no,par_id,source
932776,NA10C/494,4969954,LINZ
932777,NA10C/495,4762783,LINZ
932778,NA10C/496,4863617,LINZ
932779,NA10C/497,4957083,LINZ
932780,NA10C/498,5001107,LINZ
932781,NA10C/499,4828849,LINZ
932783,NA10C/50,5033530,LINZ
932784,NA10C/501,4745510,LINZ
932785,NA10C/502,4700382,LINZ
932786,NA10C/503,4744205,LINZ
932787,NA10C/506,4954933,LINZ
932788,NA10C/507,4825630,LINZ
932789,NA10C/509,5199464,LINZ
932790,NA10C/51,5035356,LINZ
932791,NA10C/510,4813389,LINZ
932792,NA10C/511,5082844,LINZ
932793,NA10C/512,4825627,LINZ
932794,NA10C/513,4698269,LINZ
932795,NA10C/515,4697186,LINZ
932796,NA10C/516,5072673,LINZ
932797,NA10C/517,4815499,LINZ
932798,NA10C/518,4815501,LINZ
932799,NA10C/519,5115085,LINZ
932800,NA10C/52,5164231,LINZ
932801,NA10C/520,4996203,LINZ
932802,NA10C/521,4711827,LINZ
932803,NA10C/522,5171192,LINZ
932804,NA10C/525,4921673,LINZ
932805,NA10C/526,4861090,LINZ
932806,NA10C/527,4991983,LINZ
932807,NA10C/53,4778834,LINZ
932808,NA10C/530,5118668,LINZ
932809,NA10C/531,5120929,LINZ
932810,NA10C/532,5118672,LINZ
932811,NA10C/533,5056820,LINZ
932812,NA10C/534,4862353,LINZ
932813,NA10C/535,4734809,LINZ
932814,NA10C/536,4831480,LINZ
932815,NA10C/537,4691204,LINZ
932816,NA10C/538,5048760,LINZ
